,0,Handle,ID,CreatedAt,Location
3619,👇 Mara Karlin has been one of the most generous and supportive people in the @GirlSecurity_ network. This is very e… https://t.co/LJW2dCxjwC,LBuitta,1282827312996786177,2020-07-14 00:00:39,
3620,RT @creachadair: One of the truest signs of expertise is the ability and willingness to carefully and fairly frame even the viewpoints you…,Klonick,1357386255714115587,2021-02-04 17:51:17,
3621,RT @DrewRickett: @Klonick I also like this brief explainer @jeffjarvis put together recently as sort of an introduction/overview to Section…,Klonick,1357069269822033923,2021-02-03 20:51:41,
3622,"@IfeomaOzoma @mmasnick damnit, i FORGOT MIKE HOW",Klonick,1356411441990004738,2021-02-02 01:17:43,
3623,"Finally, this is an incomplete list, and not a perfect summary of everyone's work -- I just wanted to put a diverse… https://t.co/mZt8rUpOew",Klonick,1355242388508332036,2021-01-29 19:52:19,
3624,"In the courts, @cagoldberglaw has also argued against the expansive application of 230, specifically urging courts… https://t.co/CHXbzdRZvS",Klonick,1355006374313390083,2021-01-29 04:14:29,
3625,Reform to 230 can also come from the courts or from state statute. @benjaminwittes &amp; @daniellecitron cover both pos… https://t.co/NCnrFJkTpn,Klonick,1354802164225486848,2021-01-28 14:43:01,
3626,"Being anti-sex trafficking online sounds clear cut, but it's actually complicated. Such legal reform has in fact ha… https://t.co/7NEcjfTDoj",Klonick,1354545986509692939,2021-01-27 21:45:04,
3627,"Of course, there are also people who think 230 enables certain harms online by allowing companies to escape tort li… https://t.co/TFRu8JJsA6",Klonick,1354527732542169093,2021-01-27 20:32:32,
3628,"In the 25 years of its existence, no one has so carefully covered its interpretation in the courts like… https://t.co/2wRxWRv7O9",Klonick,1354439786098995200,2021-01-27 14:43:03,
3629,"Then there's Daphne Keller @daphnehk who I dubbed ""The Oracle"" for her ability to answer questions on 230 (&amp; intern… https://t.co/p8N4NmyNhF",Klonick,1354077394399850496,2021-01-26 14:43:03,
3630,"First stop: Jeff Kosseff @jkosseff who wrote the authoritative book on the history of 230, ""The Twenty Six Words Th… https://t.co/7lYIi2Irja",Klonick,1353821207087489024,2021-01-25 21:45:03,
3631,"Today is the 25th Anniversary of the signing of Section 230 of the Communications Decency Act. 

You might have hea… https://t.co/Tirb99eIFA",Klonick,1353715004898496520,2021-01-25 14:43:02,
3632,RT @provcyber: The Providence Group @provcyber celebrates the 25th anniversary of Section 230 by recommending some of our favorite #Section…,Klonick,1352272823813890055,2021-01-21 15:12:19,
3633,@tiffanycli It could be comic sans.,Klonick,1332063301497466880,2020-11-26 20:46:54,
3634,Twirly!!! https://t.co/4CIiIDjCa1,Klonick,1330354824609738758,2020-11-22 03:38:01,
3635,"Hey @tcwittes, why don’t helicopters fly in the morning??",Klonick,1316823455371755524,2020-10-15 19:29:11,
3636,@camillefrancois I have a huge jar I bought at a market in Marseille!! I will give you some!!,Klonick,1303106645652918274,2020-09-07 23:03:29,
3637,@grok_ You are very cute Kate.,Klonick,1287387637817409546,2020-07-26 14:01:46,
3638,RT @grok_: The guys with the cute butts made a goal! More guacamole for everyone!,Klonick,1282861308401115137,2020-07-14 02:15:44,
3639,@RachelMComedy Joy’s nickname is Your Hitachi,Klonick,1282827312996786177,2020-07-14 00:00:39,
3640,Rechtsgutachten im Auftrag des @Vzbv liefert Gesetzentwurf für einen Neustart der Unabhängigen Patientenberatung… https://t.co/OWs9ZPvtVS,Prinze484,1357386255714115587,2021-02-04 17:51:17,
3641,"Ein Klassiker aus der #Verbraucherberatung: 7-Jähriger verzockt fast 3.000 Euro mit Handy der Mutter. Gut, dass ⁦… https://t.co/PDAkndRHjN",Prinze484,1357069269822033923,2021-02-03 20:51:41,
